property_address,composite_site_score,transit_walk_minutes,far_headroom_index,notes
"1 Hanson Place, Brooklyn, NY 11217",88,3,0.62,Atlantic Terminal LIRR + B/D/N/Q/R/2/3/4/5 hub
"345 Adams Street, Brooklyn, NY 11201",81,6,0.55,Downtown Brooklyn civic core; multiple subway lines
"141 Flushing Avenue, Brooklyn, NY 11205",79,8,0.58,Navy Yard corridor; bus + G train transfer options
"25 Kent Avenue, Brooklyn, NY 11249",76,9,0.51,Williamsburg waterfront; heavy bus + L Bedford
"580 Fulton Street, Brooklyn, NY 11217",84,4,0.59,Fulton Mall transit spine; many subway lines
"9 Dekalb Avenue, Brooklyn, NY 11201",73,5,0.48,High-density context; strong subway
"55 Water Street, Brooklyn, NY 11201",77,7,0.52,DUMBO-adjacent office loft fabric
"1 Rodney Street, Brooklyn, NY 11211",72,10,0.46,Williamsburg interior blocks; L + bus
"450 Albee Square, Brooklyn, NY 11201",83,4,0.57,Downtown mixed-use superblock potential
"29 Ryerson Street, Brooklyn, NY 11205",74,11,0.49,Clinton Hill; G train + bus corridors
